name,code,level,es,ms,hs,configuration,type,ward,lat,lon,modernization,mod_status,facilitiesconditionindex_2008,facilitiesconditionindex_2013,fortyforty,sy15_estenroll_total,sy15_estenroll_ps,sy15_estenroll_pk,sy15_estenroll_kg,sy15_estenroll_01,sy15_estenroll_02,sy15_estenroll_03,sy15_estenroll_04,sy15_estenroll_05,sy15_estenroll_06,sy15_estenroll_07,sy15_estenroll_08,sy15_estenroll_09,sy15_estenroll_10,sy15_estenroll_11,sy15_estenroll_12,sy15_estenroll_ao,sy15_estenroll_retained,sy15_estenroll_ell,sy15_estenroll_farm,sy15_estenroll_homelessfoster,sy15_estenroll_sped,sy15_estenroll_atrisk
J.O. Wilson ES,339,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.902758,-76.99658902,Phase,inProgress,Unsatisfactory,TBD,FALSE,462,51,65,62,65,72,60,61,26,0,0,0,0,0,0,0,0,63,6,264,21,63,224
Janney ES,254,es,TRUE,FALSE,FALSE,Elementary School,Regular,3,38.94755042,-77.08099483,Full,complete,Good,TBD,FALSE,672,0,60,109,108,115,97,100,83,0,0,0,0,0,0,0,0,4,30,12,0,41,8
Jefferson MS,433,ms,FALSE,TRUE,FALSE,Middle School,Regular,6,38.87987093,-77.02291066,None,planned,Unsatisfactory,Fair,FALSE,307,0,0,0,0,0,0,0,0,95,110,102,0,0,0,0,0,54,2,211,11,78,192
"Johnson, John Hayden MS",416,ms,FALSE,TRUE,FALSE,Middle School,Regular,8,38.85133691,-76.98370368,Phase,inProgress,Unsatisfactory,TBD,TRUE,283,0,0,0,0,0,0,0,0,104,102,77,0,0,0,0,0,74,3,234,19,70,215
Kelly Miller MS,421,ms,FALSE,TRUE,FALSE,Middle School,Regular,7,38.89331541,-76.93245515,Full,complete,Poor,TBD,TRUE,570,0,0,0,0,0,0,0,0,190,195,185,0,0,0,0,0,129,5,393,45,110,418
Ketcham ES,257,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.86604269,-76.98362116,Phase,inProgress,Unsatisfactory,TBD,TRUE,318,30,40,50,53,48,39,22,36,0,0,0,0,0,0,0,0,45,0,270,84,32,247
Key ES,272,es,TRUE,FALSE,FALSE,Elementary School,Regular,3,38.92680184,-77.10052732,Full (Pre 2008),complete,Fair,TBD,FALSE,391,0,40,63,64,65,58,62,39,0,0,0,0,0,0,0,0,9,37,16,1,26,11
Kimball ES,259,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.88308309,-76.95757271,None,planned,Unsatisfactory,Poor,TRUE,345,30,40,55,49,41,45,48,37,0,0,0,0,0,0,0,0,95,0,270,30,35,246
"King, M.L. ES",344,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.84244319,-76.99823899,Phase,inProgress,Unsatisfactory,TBD,TRUE,412,30,60,60,56,64,46,48,48,0,0,0,0,0,0,0,0,59,0,356,16,38,334
Kramer MS,417,ms,FALSE,TRUE,FALSE,Middle School,Regular,8,38.8712864,-76.9801713,None,planned,Unsatisfactory,Fair,TRUE,371,0,0,0,0,0,0,0,0,115,123,133,0,0,0,0,0,124,0,319,17,86,293
Lafayette ES,261,es,TRUE,FALSE,FALSE,Elementary School,Regular,4,38.96662755,-77.06803712,None,planned,Unsatisfactory,Poor,FALSE,700,0,80,104,108,97,103,110,98,0,0,0,0,0,0,0,0,8,18,34,5,37,24
Langdon EC,262,campus,TRUE,TRUE,FALSE,Education Campus,Regular,5,38.92470416,-76.97708185,None,planned,Unsatisfactory,Poor,FALSE,338,30,31,49,42,46,40,21,15,26,21,17,0,0,0,0,0,46,19,223,39,40,192
Langley ES,370,es,TRUE,FALSE,FALSE,Elementary School,Regular,5,38.91516879,-77.00588662,Phase,inProgress,na,Poor,FALSE,291,30,40,40,37,56,37,28,23,0,0,0,0,0,0,0,0,42,9,191,24,76,167
LaSalle-Backus EC,264,campus,TRUE,TRUE,FALSE,Education Campus,Regular,4,38.95997214,-76.99988254,Phase,inProgress,Unsatisfactory,TBD,TRUE,357,22,29,38,34,32,40,31,33,33,26,39,0,0,0,0,0,58,98,215,30,63,207
Leckie ES,266,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.82819678,-77.01289191,Phase,inProgress,Unsatisfactory,TBD,FALSE,402,45,60,65,63,49,52,38,30,0,0,0,0,0,0,0,0,49,1,227,48,40,212
Ludlow-Taylor ES,271,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.89874414,-76.99649249,None,planned,Unsatisfactory,Fair,FALSE,336,54,52,45,47,42,51,22,23,0,0,0,0,0,0,0,0,27,5,146,41,58,125
Luke C. Moore HS,884,hs,FALSE,FALSE,TRUE,High School,Vocational Shared Time,5,38.93227638,-76.99231633,na,,na,TBD,TRUE,382,0,0,0,0,0,0,0,0,0,0,0,80,80,115,107,0,219,2,220,64,30,0
Malcolm X ES,308,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.8416454,-76.98339857,None,planned,Unsatisfactory,Good,TRUE,218,30,36,34,29,28,20,20,21,0,0,0,0,0,0,0,0,44,0,207,22,28,166
Mamie D. Lee School,265,campus,TRUE,TRUE,FALSE,SPED Center,Special Education,5,38.95251344,-77.00722496,None,none,na,Poor,FALSE,62,0,0,1,3,0,1,2,5,0,3,5,10,0,0,0,32,0,2,39,1,63,33
Mann ES,273,es,TRUE,FALSE,FALSE,Elementary School,Regular,3,38.93429231,-77.08782619,Phase,inProgress,Unsatisfactory,TBD,FALSE,301,0,40,58,56,48,40,38,21,0,0,0,0,0,0,0,0,1,35,4,1,15,2
Marie Reed ES,284,es,TRUE,FALSE,FALSE,Elementary School,Regular,1,38.91911214,-77.04082224,None,planned,Unsatisfactory,Fair,FALSE,390,46,50,64,61,42,52,50,25,0,0,0,0,0,0,0,0,23,233,180,33,34,139
Maury ES,274,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.89218519,-76.9886575,Phase,inProgress,Unsatisfactory,TBD,FALSE,362,37,49,52,51,51,38,49,35,0,0,0,0,0,0,0,0,12,2,76,10,25,72
McKinley Technology EC,458,campus,FALSE,TRUE,TRUE,Education Campus,Magnet,5,38.91522012,-77.00412244,Full (Pre 2008),complete,Fair,TBD,FALSE,910,0,0,0,0,0,0,0,0,74,72,64,218,173,166,143,0,61,11,374,26,64,345
Miner ES,280,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.89737602,-76.98290432,Full (Pre 2008),complete,Fair,TBD,FALSE,408,56,49,56,61,54,47,42,43,0,0,0,0,0,0,0,0,89,6,333,60,58,297
Moten ES,285,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.856656,-76.98294368,Phase,inProgress,Unsatisfactory,TBD,TRUE,400,38,49,58,65,51,48,50,41,0,0,0,0,0,0,0,0,66,2,319,37,43,319
Murch ES,287,es,TRUE,FALSE,FALSE,Elementary School,Regular,3,38.95293352,-77.07007921,None,planned,Unsatisfactory,Good,FALSE,680,0,60,107,116,114,94,97,92,0,0,0,0,0,0,0,0,8,73,26,0,31,25
Nalle ES,288,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.88595442,-76.93079651,Phase,inProgress,Unsatisfactory,TBD,TRUE,380,52,55,46,48,53,42,41,43,0,0,0,0,0,0,0,0,67,9,294,30,40,274
Noyes EC,290,campus,TRUE,TRUE,FALSE,Education Campus,Regular,5,38.92517798,-76.99184288,Full (Pre 2008),complete,Fair,TBD,TRUE,307,16,24,40,41,25,26,30,26,30,26,23,0,0,0,0,0,54,16,215,31,55,172
Orr ES,291,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.87179716,-76.97448402,None,planned,Unsatisfactory,Poor,TRUE,372,46,60,56,47,54,41,38,30,0,0,0,0,0,0,0,0,72,0,287,53,48,268
Oyster-Adams Bilingual School,292,campus,TRUE,TRUE,FALSE,Education Campus,Regular,3,38.92359583,-77.05720337,Phase,inProgress,Unsatisfactory,Fair,FALSE,657,3,43,70,74,73,71,73,67,70,47,66,0,0,0,0,0,17,108,70,1,78,44
Patterson ES,294,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.82696636,-77.00848471,Full (Pre 2008),complete,Fair,TBD,TRUE,374,38,41,50,47,62,45,39,52,0,0,0,0,0,0,0,0,65,1,323,39,83,290
Payne ES,295,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.88517068,-76.98498373,None,planned,Unsatisfactory,Poor,FALSE,279,33,46,41,38,34,33,34,20,0,0,0,0,0,0,0,0,31,4,173,59,42,152
Peabody ES,301,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.89289632,-76.99985799,None,planned,Unsatisfactory,Fair,FALSE,229,61,80,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,1,10,16
Phelps ACE HS,478,hs,FALSE,FALSE,TRUE,High School,Magnet/Vocational Shared Time,5,38.90199202,-76.97189763,Full,complete,Fair,TBD,FALSE,354,0,0,0,0,0,0,0,0,0,0,0,140,130,50,34,0,52,15,168,15,40,166
Plummer ES,299,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.8872402,-76.93993468,None,planned,Unsatisfactory,Poor,FALSE,434,36,40,67,74,69,43,61,44,0,0,0,0,0,0,0,0,72,22,353,53,85,335
Powell ES,300,es,TRUE,FALSE,FALSE,Elementary School,Regular,4,38.94153434,-77.03122742,Phase,inProgress,Unsatisfactory,TBD,FALSE,435,30,58,68,67,72,57,55,28,0,0,0,0,0,0,0,0,39,251,217,33,49,194
Randle Highlands ES,316,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.87009174,-76.96435628,Full (Pre 2008),complete,Fair,TBD,FALSE,328,38,45,43,46,50,31,40,35,0,0,0,0,0,0,0,0,40,2,242,44,49,212
Raymond EC,302,campus,TRUE,TRUE,FALSE,Education Campus,Regular,4,38.93581121,-77.02643266,None,planned,Unsatisfactory,Fair,FALSE,553,45,60,69,76,62,60,29,39,38,30,45,0,0,0,0,0,81,232,299,23,88,252
Roosevelt HS,459,hs,FALSE,FALSE,TRUE,High School,Vocational Shared Time,4,38.94360856,-77.02777641,Full,complete,Good,Fair,TRUE,432,0,0,0,0,0,0,0,0,0,0,0,172,75,91,81,13,159,107,248,22,113,301
